                 ***| anonymous.coward has joined
       shawncarrillo|Salut
       shawncarrillo|Ca va ?
    anonymous.coward|Ouais, et toi ?
       shawncarrillo|Mes collègues me prennent la tête pour une histoire de 
                    |password débile
    anonymous.coward|Laisse béton
       shawncarrillo|Pfff
       shawncarrillo|Bon, et sinon, quoi de neuf ?
    anonymous.coward|Bah rien. Ca n'a rien donné hier soir :'(
       shawncarrillo|Tu t'en remettras. 
    anonymous.coward|Bof, ouais
       shawncarrillo|Pourquoi maintenant tu t'appelles "anonymous.coward" ?
    anonymous.coward|Comme ça. On sait jamais, de nos jours...
                    |Depuis que les "cyber-terroristes" ont fait leur coup, les
                    |types de CLEA se prennent trop pour des cow-boys.
                    |Ils ont l'impression d'avoir tous les droits.
                    |C'est quand même chaud que tu te sois fait embaucher là-bas
       shawncarrillo|Oui, je sais, ça craint. J'essaye de faire profil bas.
    anonymous.coward|x_x
       shawncarrillo|En même temps, toi tu bosses dans un BANQUE. Elles sont
                    |encore moins clean que la p####n de CLEA en ce moment.
                    |Et elles fliquent encore plus leurs employés.
    anonymous.coward|J'avoue. Et en plus j'en ai ***chié*** pour arriver là,
                    |c'est ça le pire.
       shawncarrillo|C'est si dur que ça de se faire embaucher ?
    anonymous.coward|Les tests d'embauche de /bin/banks/drh, c'est pas 
                    |franchement marrant. Mais je te raconterai une autre fois.
       shawncarrillo|OK.                    
    anonymous.coward|Pour en revenir à l'actualité, sais-tu pourquoi les autres
                    |discutent d'éteindre la VM ? Je ne suis pas au courant.
       shawncarrillo|Mesure de sécurité. C'est tout ce que je sais. Et toi tu
                    |sais qu'on doit pas en discuter.
    anonymous.coward|T'inquiète. Tu ferais mieux de t'occuper de ton password !
       shawncarrillo|Bon, passons... <soupir>
                    |Tu te souviens ce dont je te parlais hier ?
    anonymous.coward|hmmm, redis un coup ?
       shawncarrillo|L'histoire du "UGLIX kernel-monitord"
    anonymous.coward|Ouais, et alors ?
       shawncarrillo|C'est marrant, en fait la doc ne le mentionne pas.
    anonymous.coward|Oh ? La doc de la dernière version ?
       shawncarrillo|Oui. Celle-là. J'ai bien farfouillé : rien de rien.
       shawncarrillo|Par contre...
    anonymous.coward|...
    anonymous.coward|Vazy, tu veux que je te supplies de mettre un terme à ce 
                    |suspense insoutenable ou quoi ? Accouche
       shawncarrillo|OK :-). La **vieille** doc, celle qui n'est plus en ligne 
                    |et qui est conservée dans les archives, y fait une brève 
                    |allusion.
    anonymous.coward|Les archives ? Quelles archives ? 
       shawncarrillo|Les archives de la bibliothèque où on bossait pour passer 
                    |le brevet d'admin
    anonymous.coward|Jamais entendu parler. C'est ouvert au public ce truc ?
       shawncarrillo|Ce n'est pas ouvert au public. Quand j'ai demandé, on m'a
                    |dit que seuls les admins certifés pouvaient y aller.
       shawncarrillo|J'ai "emprunté" la carte de mon superviseur et j'y suis
                    |allé un autre jour (pour pas retomber sur le même type)
    anonymous.coward|Classe. C'est comment dedans ?
       shawncarrillo|Glauque. On dirait un vieux parking souterrain ou personne 
                    |est allé depuis 50 ans. C'est du béton nu, y'a de la
                    |poussière partout, des infiltrations d'eau, des néons
                    |fatigués qui clignottent...
    anonymous.coward|Ambiance film d'horreur, quoi.
       shawncarrillo|Et en plus il faut badger 50x pour accéder aux vieilles
                    |docs qui sont dans une salle à part.
    anonymous.coward|Bon, et alors, le kernel-monitord ?
       shawncarrillo|La vieille doc en parle au futur en fait. Comme d'un projet
                    |pour la prochaine version d'UGLIX.
       shawncarrillo|C'est pas très clair, mais il s'agirait d'un truc qui
                 ***| shawncarrillo lost connection (network link down?)
    anonymous.coward|...on se fout de ma gueule
                 ***| kernel-monitord has joined
     kernel-monitord|[[1517671304## UGLIX]]: BRUTE.FORCE:827:3@629967|e232e101f9c1d57202c5938d14506351
                 ***| kernel-monitord has left
    anonymous.coward|!!!
    anonymous.coward|Bon, ben moi, je vais aller voir ailleurs, je crois
                 ***| anonymous.coward has left ("Mon chef m'appelle")
